,comfort,surprise,anxiety,calmness,boredom,ECG_Rate,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,EDA_Phasic_Mean,EDA_Phasic_Std,EDA_Tonic_Mean,EDA_Tonic_std,SCR_Onsets,SCR_Magnitude,SCR_Amplitude_Mean,SCR_RiseTime_Mean,SCR_RecoveryTime_Mean,Pupil_Mean,Pupil_Std,s_id,t_id
13,2,0.2207357883,0.1806020141,1.807692289,0.2341137081,112.0337279,7.375635566,534.8571429,8.113480845,7.556105931,0.1154858864,0.7832531453,-0.1601375583,0.3364063248,0.25,2.360889975,0.001980299618,0.003168,0.000256,34.78151323,2.260425596,P15,9
14,2,0.0852842778,0.0852842778,1.690635443,0.1471571922,117.0864412,7.197883287,511.6363636,7.188254007,7.282071919,-0.02990105765,0.7888935191,-0.5240305761,0.5238058254,0.1666666667,2.760357785,0.002550440103,0.003344,0.0002134756504,34.05264098,1.923282069,P15,9
15,2,0.1237458214,0.1337792575,1.770902991,0.1036789268,115.3069916,9.875414398,520.3636364,14.70518358,9.998095057,0.1455500432,0.5465462457,0.04317420161,0.1777152309,0.1666666667,1.216847665,0.0009694515285,0.002928,0.001168,33.70728675,1.852853724,P15,9
16,2,0.0785953179,0.07525083423,1.921404719,0.04682274163,114.9559808,9.875414398,521.8181818,13.04802982,9.998095057,0.01217207469,0.617760306,-0.7140859204,0.06914770796,0.1666666667,0.6692493337,0.0004477557343,0.001034666667,0.0001547698466,34.10997234,1.829338362,P15,9
17,2,0.1354515105,0.115384616,1.869565248,0.1170568541,113.9716197,7.807200584,525.4545455,12.92000027,7.961813624,-0.1639497944,0.9102729368,-0.865408205,0.1361574864,0.25,0.5978541494,0.0004223194089,0.0007253333333,0.0001866666667,34.79037818,2.164105144,P15,9
18,2,0.03344481438,0.1354515105,1.817725778,0.0785953179,114.6038817,7.197883287,522.9090909,7.627700714,7.3652983,-0.1971624449,0.9012422205,-1.08007826,0.2417092177,0.25,0.6942729374,0.000784883542,0.0007786666667,0.000576,34.95610781,2.029994896,P15,9
19,2,0.1270903051,0.08862876147,1.799331069,0.06688962877,119.209607,9.025217197,502.6086957,11.22391574,9.237604307,-0.032935416,0.4614961219,-0.7736387131,0.08057771953,0.25,1.012086824,0.001389798899,0.002805333333,0.0008426666667,34.05052035,1.753929658,P15,9
20,2,0,0,1.754180551,0.04682274163,116.3876902,8.17979773,516.173913,11.28011998,8.29749871,-0.04734389686,0.5665382596,-0.7595500506,0.1001177542,0.25,1.195555885,0.00143205532,0.002826666667,0.0005973333333,33.50107648,1.478170429,P15,9
21,2,0.06856187433,0.08361203969,1.777591944,0.04682274163,115.3109159,8.372289896,520.3636364,7.600410105,8.570158636,-0.07996831022,0.6513845227,-0.4761375573,0.06504506612,0.08333333333,1.451519159,0.0009676794392,0.001962666667,0.001136,34.22521668,2.56577762,P15,9
22,2,0.005016722251,0.071906358,1.968227386,0.05518394709,107.487048,9.35836243,523.6,14.32847735,9.257840047,-0.0281499977,0.537956313,-0.2717201237,0.07202525477,0.08333333333,0.8578895477,0.0005719263652,0.001237333333,0.0005973333333,31.1403706,8.417451334,P15,9
